scientific_name	submitted_ftp	submitted_md5	sample_alias	country	fastq_ftp	fastq_md5	library_layout
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390162/SAMEA3993565_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	b84641ebe507669f2b0255e94ff3bb21	sam_103239_20160518_DTU2016_546_PRJ1055_ESchericha_coli_15078257	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417711/ERR1417711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417711/ERR1417711_2.fastq.gz	97fa323b1425ecf573d5d9067648fd4b;139229d14f0744ff7c806dc2b46a6c83	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390163/SAMEA3993566_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	32b6e7c1b55cbf5e7b43ebb86884a4a5	sam_103239_20160518_DTU2016_547_PRJ1055_ESchericha_coli_15090172	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417712/ERR1417712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417712/ERR1417712_2.fastq.gz	b21d5ecb564426806a459b5e7b92ec3a;33ca1f505080e5c8e736b9be23c621fc	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390164/SAMEA3993567_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	403f07f4ec22915d2f1e61426487186a	sam_103239_20160518_DTU2016_548_PRJ1055_ESchericha_coli_15097579	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417713/ERR1417713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417713/ERR1417713_2.fastq.gz	7754fc8c0f741d05e795373960788657;da2456954bc64b99071ab85f98512623	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390165/SAMEA3993569_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	dd642ad3a3118382774725f17fcc7955	sam_103239_20160518_DTU2016_550_PRJ1055_ESchericha_coli_15078279	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417715/ERR1417715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417715/ERR1417715_2.fastq.gz	49d8d841a9a25714ba59bf81842cead3;7f260e04be8f86ce8b9001ce222f1edd	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390166/SAMEA3993570_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	7d192c1005f6eadf1b5c1ee06603c2da	sam_103239_20160518_DTU2016_551_PRJ1055_ESchericha_coli_15095383	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1417716/ERR1417716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1417716/ERR1417716_2.fastq.gz	ccd0cc69b8c5e77a3d32eed6513a2dcc;58b617e79a9bb438024d101837350c86	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390167/SAMEA3993571_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	706d3e36ec1bd23bd29ef5d171203c6f	sam_103239_20160518_DTU2016_552_PRJ1055_ESchericha_coli_15078284	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417717/ERR1417717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417717/ERR1417717_2.fastq.gz	d8c3fd426d569bd14f238d974f17f19f;a00200c4fb9890925c05cdeb91876269	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390168/SAMEA3993572_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	a9278867b44f82adb953233c0a8f8585	sam_103239_20160518_DTU2016_553_PRJ1055_ESchericha_coli_15082472	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1417718/ERR1417718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1417718/ERR1417718_2.fastq.gz	340b0545319ffb8a41f175e96c267aa2;6bbe7f99b9c399e415e2cfe4fab46ef0	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390169/SAMEA3993573_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	69c0efb6b25f791b1d2b1a86685a8560	sam_103239_20160518_DTU2016_554_PRJ1055_ESchericha_coli_15090171	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1417719/ERR1417719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1417719/ERR1417719_2.fastq.gz	3a0f331f1bbee835e7877322c3693512;a20c3e6ef1f0c57ef6edc87fc91fbb70	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390170/SAMEA3993575_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	39f316969d42354354ce023d876758e7	sam_103239_20160518_DTU2016_556_PRJ1055_ESchericha_coli_15093653	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417721/ERR1417721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417721/ERR1417721_2.fastq.gz	3e63130c5fb9b11a3dfc442a34afd20d;31ca7f5439ad6d318042e6c1c5b78656	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390171/SAMEA3993576_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	0c2ae4f40f7edb9ad2f284146f182c6c	sam_103239_20160518_DTU2016_557_PRJ1055_ESchericha_coli_15106535	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417722/ERR1417722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417722/ERR1417722_2.fastq.gz	97ec7a409008403055d482b80c71b500;d5730e03445720a785f25a71c22cd7f7	PAIRED
